,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.778,0.317
1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.554
2,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,7dbka99KTWke5o9hRp0JoB,2019-02-22,83,0.761,0.479
3,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
4,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,0rTV5WefWd1J3OwIheTzxM,2019-02-07,92,0.9,0.4
5,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,94,0.572,0.385
6,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4NzMOnvSJVNKF7nw5NkXIP,2019-01-30,96,0.905,0.389
7,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,84,0.846,0.731
8,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,96,0.741,0.52
9,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,97,0.752,0.488
10,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
11,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,3 Nights,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,83,0.815,0.518
12,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,7 Minutes,2BkyYZmU4JuWW2sYi9EzpC,2019-01-18,84,0.613,0.739
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,90,0.717,0.653
14,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,2019-02-07,90,0.51,0.835
15,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,93,0.599,0.733
16,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,97,0.687,0.792
17,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,2018-12-07,83,0.632,0.686
18,Hilltop Hoods,7dlqUnjoF2U2DkNDMhcgG4,Leave Me Lonely,26gEW3DUEK0n8n5fvnYrPE,2019-02-22,60,0.763,0.874
19,KIAN,1TulCA2zO3YxAjQ7ZsvtDq,Waiting,0TBFJanfWaByPIi3f7RR82,2018-11-30,77,0.787,0.448
20,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,96,0.837,0.364
21,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,94,0.834,0.73
22,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Robbery,44ShclXTOOnYtt5CnCDeGV,2019-02-13,88,0.708,0.691
23,Cardi B,4kYSro6naA4h99UJvo89HB,Please Me,0PG9fbaaHFHfre2gUVo7AN,2019-02-15,89,0.747,0.57
24,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,3EPXxR3ImUwfayaurPi3cm,2018-06-29,92,0.553,0.586
25,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,2019-02-14,85,0.464,0.852
26,Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,2018-10-18,87,0.596,0.552
27,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Shotgun,4ofwffwvvnbSkrMSCKQDaC,2018-03-23,87,0.672,0.735
28,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Thotiana,3oh6SCCeLuXhFpEyepla6G,2018-12-18,92,0.906,0.382
29,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,86,0.596,0.854
30,Bene,28OHQv3VZ2gifjWzrqBv1v,Soaked,70TEuKwiK0bd5phEQkbvT4,2018-09-14,74,0.792,0.54
31,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,2018-08-03,90,0.759,0.73
32,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,14JzyD6FlBD5z0wV5P07YI,2018-10-17,92,0.498,0.104
33,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,93,0.807,0.887
34,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2017-10-27,69,0.752,0.764
35,Ocean Alley,18lpwfiys4GtdHWNUu9qQr,Confidence,7to68V64Cu6zk0UDo5tyw3,2018-03-09,73,0.59,0.562
36,Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,95,0.889,0.496
37,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,90,0.791,0.587
38,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,2018-11-30,92,0.601,0.794
39,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,81,0.397,0.396
40,Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,92,0.68,0.563
41,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,lovely,1NJcg626wLln4pGHpiV7mf,2017-08-11,64,0.351,0.296
42,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Bad Liar,2RSHsoi04658QL5xgQVov3,2018-11-09,89,0.383,0.637
43,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,2018-10-24,92,0.574,0.758
44,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,2019-02-22,80,0.61,0.725
45,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,2019-01-16,89,0.68,0.559
46,Zedd,2qxJFvFYMEDqd7ui6kSAcq,365,2XWjPtKdi5sucFYtVav07d,2019-02-14,87,0.745,0.693
47,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,3id2EVGKc3eFAMn9nFnB0r,2018-10-26,78,0.538,0.409
48,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-01-18,89,0.674,0.881
49,benny blanco,5CiGnKThu5ctn9pBxv7DGa,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-02-28,80,0.541,0.468
