,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Tropkillaz,5bzWtCkjIAMgN93gLt56SO,Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,2019-02-22,82,0.834,0.777
1,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,2019-01-11,83,0.872,0.971
2,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,2018-12-07,84,0.848,0.933
3,Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,2018-10-17,83,0.65,0.361
4,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,2018-09-20,84,0.676,0.844
5,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,Jenifer,7wMAgaPiKzTNxpDWu2BPfk,2019-02-01,64,0.768,0.934
6,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,Quem Me Dera,2lAyctg5FocS67eksHoyIg,2018-12-12,69,0.815,0.723
7,MC L da Vinte,0lHB0Qc4pmD5RkTLlHeESo,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,2018-07-23,83,0.828,0.599
8,Anitta,7FNnA9vBm6EKceENgCGRMb,Terremoto,7G2XZhDNHo7SSDWSVxC0UT,2019-02-01,84,0.891,0.805
9,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,2019-02-22,73,0.603,0.804
10,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Notificação Preferida - Ao Vivo,2qkNnJvQvhLiZ63X1L3eFz,2018-05-18,80,0.398,0.838
11,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Medley da Gaiola - Dennis DJ Remix,7rLegaz7zKB6EtDNzcslKE,2018-08-27,81,0.897,0.757
12,Ludmilla,3CDoRporvSjdzTrm99a3gi,Favela chegou - Ao vivo,2caDAj0O4uD8OlJ8bap9nz,2019-02-27,70,0.606,0.877
13,Jerry Smith,6OpOg5HVCc8xVf7OVrd5Fk,Quem Tem o Dom,2mJOngYlqgfdLMBSxPcJL3,2019-01-18,76,0.807,0.782
14,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,Infarto,0XEJ7eph2IWFYZc73Jm3n2,2018-11-05,81,0.613,0.794
15,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,2018-09-14,81,0.608,0.729
16,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,Só Pra Castigar,2X8sssaxS5GReg6945B6RW,2018-09-12,81,0.681,0.94
17,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,94,0.572,0.385
18,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,Cem Mil - Ao Vivo,5eMmT4Ava5BGThju0AD8vQ,2018-10-26,79,0.901,0.819
19,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,2018-12-07,79,0.493,0.832
20,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,"Quem Pegou, Pegou",0kCqaybZgYcLYxzZymmBoc,2018-08-20,81,0.699,0.682
21,Simone & Simaria,0MInKJqZscEeNc5K3K0mkE,Qualidade De Vida - Ao Vivo,5Wmg5LPPJnbMsKA9fthM3l,2019-01-09,81,0.832,0.833
22,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,2019-02-22,72,0.663,0.884
23,Lexa,0jTDeBJQr3unrK29LklnAv,Sapequinha,7LPR6AdkOQR9WpEixCGNCk,2018-08-03,79,0.677,0.984
24,Lucas Lucco,06cd30Cv9US973Ika84gDw,Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,2018-10-18,80,0.703,0.929
25,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Ciumeira - Ao Vivo,7D5F5BzIon5zhzQrOU2pdN,2019-02-22,69,0.741,0.813
26,Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,Traí Sim - Ao Vivo,3o67Yt3Ua1qlSNV22zWUAn,2018-11-30,80,0.699,0.86
27,Lexa,0jTDeBJQr3unrK29LklnAv,Só Depois do Carnaval,6HtVFR6WAeJRgYtleNcEE8,2019-01-31,76,0.833,0.917
28,Melim,6uYrXgVHctAJtIdSODcyLJ,Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,2018-06-08,81,0.641,0.614
29,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Sem Sal - Ao Vivo,0EZuXcsnjEmGuRYdFdcctX,2019-02-22,69,0.559,0.844
30,Humberto & Ronaldo,1zEo6Fk1iaaOYFlFPBHCFn,Não Fala Não pra Mim,0PaAB17axL9hn88mHiw8g0,2018-06-15,79,0.741,0.794
31,Whadi Gama,7u9RPOpEILUin8BbIUJbsj,Piscininha Amor,4Da1U4No5kamKMoJ82RGan,2019-01-17,74,0.8,0.7
32,Lauana Prado,6TYimByryGphZCtwYopH0y,Cobaia,1xyVMQx51Kab6eLVtE6twx,2018-06-08,65,0.751,0.709
33,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,To Gostando Tanto de Você,4HTrlT5mmxPaZZKs4JSPeI,2018-09-14,78,0.869,0.681
34,Mc Pocahontas,56yC2Kq7eS346CgJpld4Bc,Quer mais?,6zdrUt0j8guhZfcSF6X2Sb,2018-11-01,78,0.826,0.791
35,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,Sofazinho - Ao Vivo,2PMLdLt5QeOuOgxfAvx1in,2018-09-14,78,0.517,0.875
36,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,2019-01-11,78,0.757,0.687
37,Dilsinho,4NUePmzDvCYqilXBFa91Hg,Péssimo Negócio - Ao Vivo,5MMrkwK6AgNAsgHVdC7daZ,2019-01-31,69,0.538,0.651
38,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Largado Às Traças - Ao Vivo,1IJH7QjV5V99eJBtKXqGXE,2018-05-18,79,0.694,0.869
39,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,Só Você,4xc6RrWzEOdprPqYn9Cyen,2018-05-04,79,0.834,0.751
40,Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,Não Atende Não,7E5cJjrgYLHo13pI0hpmWw,2018-09-12,68,0.374,0.953
41,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,Pronta pra Trair,3IdXfXbXcbEe3LP9ClIZw8,2018-10-22,71,0.742,0.486
42,IZA,3zgnrYIltMkgeejmvMCnes,Dona de mim,0H8CBal2Dcu5Yc001VotZN,2018-04-27,68,0.412,0.809
43,Henrique & Diego,1D6vAeVUcgMbSx80IA3Zun,Espelho Meu - Ao Vivo,4mtHXZBOBMrZSI6jp3X9WJ,2019-02-01,58,0.521,0.918
44,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Dentro do Carro,6FWMkcaZyKS8I60zR6ro7h,2018-09-24,75,0.848,0.896
45,Gloria Groove,7rXMvXRnWHaSwnVvPeUUfw,Coisa Boa,4SBQSroThFQ98U29IwnJ2g,2019-01-10,75,0.692,0.973
46,Mano Walter,35YkpX0zYwHG8vOIhObvxP,Então Vem Cá - Ao Vivo,7oe0Ix6qnvqZhK0zDzOPie,2018-12-07,56,0.686,0.852
47,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.778,0.317
48,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Poesia Acústica #6: Era uma Vez,13Rf6RaZT13TW4xLQR3MQr,2018-12-24,79,0.518,0.575
49,Melim,6uYrXgVHctAJtIdSODcyLJ,Meu Abrigo,5U28PY9MekLyCBYtLHGQpe,2018-06-08,78,0.658,0.572
