,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.771,0.32
1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.545
2,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
3,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-01-23,95,0.837,0.364
4,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,94,0.572,0.385
5,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,7dbka99KTWke5o9hRp0JoB,2019-02-22,79,0.761,0.479
6,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,2018-08-03,89,0.759,0.73
7,Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,95,0.889,0.496
8,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,90,0.791,0.587
9,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Robbery,44ShclXTOOnYtt5CnCDeGV,2019-02-13,87,0.708,0.691
10,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,2019-01-16,89,0.68,0.559
11,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,96,0.741,0.52
12,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,0rTV5WefWd1J3OwIheTzxM,2019-02-07,91,0.9,0.4
13,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4NzMOnvSJVNKF7nw5NkXIP,2019-01-30,96,0.905,0.389
14,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,97,0.752,0.488
15,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,92,0.599,0.733
16,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,94,0.834,0.73
17,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
18,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Thotiana,3oh6SCCeLuXhFpEyepla6G,2018-12-18,91,0.906,0.382
19,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,97,0.687,0.792
20,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2018-12-21,89,0.581,0.662
21,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,2018-10-05,91,0.896,0.671
22,21 Savage,1URnnhqYAYcrqrcwql10ft,a lot,2t8yVaLvJ0RenpXUIAC52d,2018-12-21,92,0.837,0.636
23,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,2018-12-07,83,0.632,0.686
24,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,2018-12-14,92,0.861,0.603
25,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,2019-02-22,73,0.61,0.725
26,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,2019-02-22,81,0.844,0.513
27,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Girls Need Love (with Drake) - Remix,0mfCH4nfpshBQR9ueZP5eP,2019-02-27,56,0.656,0.432
28,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Red Room,4TWflhgevIGo448fWc6mQq,2019-02-22,72,0.936,0.559
29,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,2019-02-07,90,0.51,0.835
30,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,2018-10-05,92,0.729,0.625
31,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,bad idea,7EQpvVujgytLVY8vKiDHAg,2018-02-07,72,0.86,0.582
32,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2018-06-22,94,0.579,0.904
33,Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,92,0.68,0.563
34,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2018-11-16,90,0.652,0.557
35,Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,2018-10-18,87,0.596,0.552
36,Cardi B,4kYSro6naA4h99UJvo89HB,Please Me,0PG9fbaaHFHfre2gUVo7AN,2019-02-15,88,0.747,0.57
37,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,92,0.807,0.887
38,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,91,0.511,0.566
39,Khalid,6LuN9FCkKOj5PcnpouEgny,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,2018-10-18,82,0.551,0.44
40,Drake,3TVXtAsR1Inumwj472S9r4,Nonstop,0TlLq3lA83rQOYtrqBqSct,2018-06-29,88,0.912,0.412
41,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,needy,1TEL6MlSSVLSdhOSddidlJ,2019-02-08,91,0.607,0.314
42,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,86,0.596,0.854
43,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,NASA,4SPu0Ql902hTVXkBoNIYtq,2018-02-07,73,0.597,0.458
44,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
45,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Splashin,79OEIr4J4FHV0O3KrhaXRb,2018-12-04,87,0.942,0.383
46,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-01-18,88,0.674,0.881
47,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Startender (feat. Offset and Tyga),0jAfdqv18goRTUxm3ilRjb,2018-12-21,80,0.736,0.622
48,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,81,0.397,0.396
49,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-01-24,95,0.737,0.86
