,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Anuel Aa,2R21vXR83lH98kGeO99Y66,Secreto,5W83ErFkO3aKAIS1WMi6u0,2019-01-15,95,0.807,0.803
1,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-01-24,96,0.737,0.86
2,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2018-10-05,96,0.826,0.773
3,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,2018-10-12,92,0.709,0.771
4,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,2018-11-05,94,0.767,0.709
5,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,2019-02-01,84,0.724,0.791
6,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,2019-02-07,80,0.688,0.62
7,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Te Vi,059bcIhyc2SBwm6sw2AZzd,2018-12-14,90,0.877,0.777
8,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Esclavo de Tus Besos,3g4UyIcQwutiG0TfW32GnX,2019-02-15,81,0.805,0.671
9,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,5BDP2tky8oMQJPS33frKVp,2019-01-18,89,0.771,0.382
10,Maluma,1r4hJ1h58CWwUQe3MxPuau,HP,31UjYv5vLsDkzchJOtUMtW,2019-03-01,72,0.837,0.791
11,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,2019-01-05,94,0.816,0.754
12,Anuel Aa,2R21vXR83lH98kGeO99Y66,Ella Quiere Beber - Remix,2cYnZNzFRFK0H7vSNxPsUq,2018-11-02,92,0.751,0.665
13,Anuel Aa,2R21vXR83lH98kGeO99Y66,Amanece,1LiN0Z98FkR1t0m8KmLcAH,2018-12-14,91,0.79,0.631
14,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Sola,675w3ACw5xZR3ODhUJlEVN,2018-11-09,81,0.704,0.706
15,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,2018-10-11,95,0.817,0.539
16,Karol G,790FomKkXshlbRYZFtlgla,Créeme,1mT47pKLXUwPYGwB91GcNz,2018-11-02,88,0.715,0.872
17,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,2018-11-17,89,0.747,0.74
18,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Adictiva,6MJUCumnQsQEKbCy28tbCP,2018-11-09,90,0.788,0.771
19,Jowell & Randy,4IMAo2UQchVFyPH24PAjUs,Dile la Verdad,6qP73DRFGojLuIk1siIhNE,2019-01-11,85,0.886,0.701
20,Kenny Man,6SGvRyZuaSuWmP6IWUKpGf,Ni Gucci Ni Prada,32lexhcz93AinKK0qLTZaZ,2018-09-14,84,0.799,0.676
21,Amenazzy,6kq4GHwUcUojGIu0ziSNXf,Baby,2IA8cFA46DkjgbsRG7kKbp,2018-12-21,85,0.7,0.71
22,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,No Es Justo,5qFeMRz4TvetPmzjre9Dq7,2018-05-25,80,0.684,0.811
23,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2018-08-24,88,0.754,0.805
24,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.778,0.317
25,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Bubalu,7dNwJbsT0sg1le5kVugGJb,2018-11-06,89,0.8,0.355
26,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018-09-28,96,0.841,0.798
27,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,2018-08-10,87,0.632,0.832
28,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,2018-05-11,85,0.823,0.731
29,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se Da,5KbBGUpIZd6gVFUU8tqYiQ,2019-02-26,68,0.83,0.71
30,benny blanco,5CiGnKThu5ctn9pBxv7DGa,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-02-28,80,0.541,0.468
31,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,2019-02-28,63,0.755,0.792
32,Zion & Lennox,21451j1KhjAiaYKflxBjr1,La Player (Bandolera),0VKkyBKCXyR99navhVRqcP,2018-02-16,82,0.769,0.838
33,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,94,0.572,0.385
34,Reykon,3PAwspMN27PDm81WwXDsMf,Domingo (feat. Cosculluela),6ayCEojiJIe5d8DwXVlGU4,2018-10-26,79,0.816,0.733
35,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,2018-08-24,85,0.691,0.71
36,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Solo de Mi,4uP3pUP18ennmz0tb3GphR,2018-12-23,81,0.743,0.73
37,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,84,0.846,0.731
38,Sech,77ziqFxp5gaInVrF2lj4ht,Qué Más Pues,5O3cRP4ZHC9vvVIHtET1f0,2018-12-06,70,0.563,0.565
39,Brytiago,00XhexlJEXQstHimpZN910,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,2018-10-31,86,0.825,0.69
40,Mike Bahía,1phfTBIocBW3UwqcYjaEN6,Esta Noche,7vFmnmcsp41uzBUiw1zxfw,2018-11-30,72,0.727,0.85
41,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Culpables,3RD0PGolM0mETGHaprwgMn,2018-07-27,79,0.573,0.31
42,Karol G,790FomKkXshlbRYZFtlgla,Culpables,6q8Lb50EtqNeeJXXe8mMAH,2018-09-14,86,0.728,0.801
43,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,81,0.397,0.396
44,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,Pa Olvidarte,0NCMHQFpWVDK199pKR2Y7V,2018-11-02,71,0.729,0.805
45,Becky G,4obzFoKoKRHIphyHzJ35G3,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,2018-08-02,87,0.772,0.732
46,Sech,77ziqFxp5gaInVrF2lj4ht,Solita,6Bc48Fgqgb6j4K6JdkZTNk,2019-02-28,61,0.679,0.831
