,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,4BD9yUEFI07WaDJ381DDMq,2019-02-15,81,0.828,0.686
1,Shirin David,0JBdTCGs111JKKYfLqOEBa,Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,2019-02-15,80,0.928,0.402
2,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Capital Bra je m'appelle,6VMAFT0zfide2Jg8MVZAPz,2019-02-22,77,0.626,0.768
3,Eno,3GBBxBdoolb0B5YizZq9bF,Ferrari,4AgK0CwpwcekXVdAoYB2VO,2019-02-08,84,0.73,0.725
4,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,2019-01-25,84,0.732,0.583
5,Azet,39KEQQAG9JhIt71g9NEVhh,Fragen,26pr9oLIVAc1L62F2exIRT,2019-02-22,75,0.839,0.733
6,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.771,0.32
7,MERO,5wyWp867LWGjFmYZXVSFnZ,Hobby Hobby,260R90ctQ1SiPax90PuEsT,2019-01-18,83,0.737,0.75
8,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
9,Azet,39KEQQAG9JhIt71g9NEVhh,Hallo Hallo,3aYAAXlB1yvUs5MJ0FI3bh,2019-02-08,80,0.784,0.654
10,Loredana,2Im8m4STDBosjfmb5hmP80,ROMEO & JULIET,3uB8KqnEoQq5bTQ1JFHJ7Y,2019-02-01,80,0.644,0.68
11,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Benzema,7KPGeiXWDsGEvFK62wzU8E,2018-12-21,82,0.783,0.692
12,Nimo,3ZuBEj9ppJe8GSdKaMTfMN,Leyla,08OFGhKf7mK1BGhzMtXaqo,2019-02-15,75,0.838,0.66
13,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,JAJA,5z3vuYzS9UF6rD6TmBEdUf,2019-01-11,80,0.787,0.839
14,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,92,0.807,0.887
15,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
16,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,2018-11-16,87,0.574,0.728
17,MERO,5wyWp867LWGjFmYZXVSFnZ,Baller los,1IPRghUN3LFPNbCTsfBJx9,2018-11-23,81,0.642,0.598
18,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.545
19,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,2019-02-08,67,0.654,0.836
20,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,94,0.572,0.385
21,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-01-24,95,0.737,0.86
22,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,4UOXo3xWnxYdTf3sFyRaUG,2018-10-05,78,0.805,0.924
23,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,2018-12-21,90,0.791,0.587
24,Shindy,5j21TGkrNEAJe3gG9VlS34,DODI,63THFs9ovzO3WQsz4lzh0H,2019-01-11,80,0.823,0.56
25,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2018-06-22,94,0.579,0.904
26,KitschKrieg,5tHiL8SKSaZGMBUPIiSmX4,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,2018-10-19,79,0.826,0.76
27,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,Nur ein Tanz,6oaNpCVXUtmG0eKxsPO6Uf,2019-02-15,74,0.652,0.752
28,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,2PAYSgrVOBz8RJqp9B7QLu,2018-12-07,71,0.675,0.803
29,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,97,0.752,0.488
30,C ARMA,1wLLRA70itxEltujaQlLiT,Yapma,1194zYf7UfSXP4omxVTmPa,2018-12-21,75,0.771,0.711
31,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Say My Name,0YammaEkYSeo9vQYZ1OwS6,2018-09-14,88,0.703,0.66
