,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,92,0.771,0.32
1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
2,Fiersa Besari,06QVnTCdjs4jPKO0487EGV,Waktu Yang Salah (feat. Thantri),25qm0qQzdRkWe96BKuaiHt,2014-05-15,70,0.665,0.276
3,JENNIE,250b0Wlc5Vk0CoUsaCY84M,SOLO,2wVDWtLKXunswWecARNILj,2018-11-12,80,0.751,0.642
4,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,97,0.752,0.488
5,ITZY,2KC9Qb60EaY0kW4eH68vr3,달라달라 DALLA DALLA,6G7DuXoSGeAf6BZivJdEjF,2019-02-13,79,0.79,0.853
6,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,2017-10-20,84,0.473,0.371
7,SHAUN,72nLe76yBFSlP6VBzME358,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,2018-12-21,80,0.737,0.747
8,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,92,0.572,0.385
9,Andmesh,6IDsZZ4IHgs9VblBgQQSmt,Cinta Luar Biasa,1Hy1CBFRXYvFL7eJT5MLlG,2018-11-02,66,0.59,0.263
10,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,3id2EVGKc3eFAMn9nFnB0r,2018-10-26,78,0.538,0.409
11,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,7dbka99KTWke5o9hRp0JoB,2019-02-22,66,0.761,0.479
12,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,97,0.726,0.545
13,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,2BgEsaKNfHUdlh97KmvFyo,2018-04-27,85,0.697,0.683
14,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,91,0.599,0.733
15,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018-09-28,95,0.841,0.798
16,TheOvertunes,3t4MHnVggiFLOuSSh4odBk,Bicara (feat. Monita Tahalea),2zgiM0lbf4KpBPriKPqEMg,2018-08-31,68,0.574,0.37
17,Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,2018-06-15,83,0.851,0.541
18,John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,40FLJc17FMZaPmCQEEZgB0,2018-06-29,31,0.828,0.689
19,Juicy Luicy,3tMTXQyRrPmMyHv5SoC0TV,Tanpa Tergesa,66wRGrt1HmeVa1wtnWMj6C,2018-02-28,67,0.703,0.291
20,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,95,0.741,0.52
21,Wahyu,5dMBIMnqkURDpv97Gle398,Selow,1c5ZiOfMbDBHKRNuMfinOb,2017-10-10,70,0.626,0.573
