,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Aimyon,5kVZa4lFUmAQlBogl1fkd6,マリーゴールド,2cKiHG16JBiqHdi7Llq0r7,2019-02-13,60,0.545,0.745
1,Aimyon,5kVZa4lFUmAQlBogl1fkd6,今夜このまま,6kKvmT4i0Dercz6f3kftg3,2019-02-13,57,0.441,0.852
2,Aimyon,5kVZa4lFUmAQlBogl1fkd6,君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM,2017-09-12,66,0.524,0.687
3,King Gnu,6wxfx1yhyqjCPYwwxJktR2,白日,18kopBY404pwnBMYoUwQYi,2019-02-22,55,0.606,0.901
4,Aimyon,5kVZa4lFUmAQlBogl1fkd6,愛を伝えたいだとか,0N8Xztr4pBHJ7V0moJWhbO,2017-09-12,64,0.673,0.85
5,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Stand Out Fit In,4zXRMjTaeflesB3Ih4eHnJ,2019-02-15,58,0.615,0.841
6,Aimyon,5kVZa4lFUmAQlBogl1fkd6,満月の夜なら,7DW5Dro8AHE7x19COl26E3,2019-02-13,57,0.547,0.949
7,DAOKO,5Qeyh2XKoITt1mlEVtzazC,打上花火,4IouQaO9GkaHC7AtMErdSa,2017-12-20,64,0.625,0.668
8,HY,3x621ItlHMtX7mrJ8QnEjM,366日,22aZD7yaGYfhgCYazL4nbc,2008-04-16,61,0.378,0.426
9,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,93,0.771,0.32
10,Mr.Children,1qma7XhwZotCAucL7NHVLY,HANABI,77lmDcPPyY6kK907gdgC6i,2008-12-10,62,0.638,0.766
11,Aimyon,5kVZa4lFUmAQlBogl1fkd6,貴方解剖純愛歌〜死ね〜,2H3bOGOE50qEo5wAYoJiwL,2015-08-05,62,0.422,0.918
12,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Change,0BOHIMI5EvhGuZSkWLwxIP,2019-02-15,54,0.493,0.729
13,Aimyon,5kVZa4lFUmAQlBogl1fkd6,あした世界が終わるとしても,4cKEW1EDlagnqmExM6lVcm,2019-02-13,57,0.563,0.67
14,MONGOL800,2zUQjYvy0TevSi4d3PjqQO,小さな恋のうた,7swIKcU4tFRk4iFJpi12Fg,2013-01-23,63,0.403,0.87
15,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,In the Stars (feat. Kiiara),3VESewT7ERH2wtE5OyuKWH,2019-02-13,57,0.597,0.785
16,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
