,Genres,Genre Counts,Genre Popularity Percentage
0,pop,30,60.0
1,rap,24,48.0
2,trap music,17,34.0
3,dance pop,15,30.0
4,pop rap,14,28.000000000000004
5,post-teen pop,13,26.0
6,atl hip hop,7,14.000000000000002
7,hip hop,6,12.0
8,chicago rap,3,6.0
9,electropop,3,6.0
10,southern hip hop,3,6.0
11,miami hip hop,3,6.0
12,cali rap,2,4.0
13,underground hip hop,2,4.0
14,vapor trap,2,4.0
15,emo rap,2,4.0
16,conscious hip hop,1,2.0
17,nc hip hop,1,2.0
18,philly rap,1,2.0
19,atl trap,1,2.0
20,etherpop,1,2.0
21,indie poptimism,1,2.0
22,brostep,1,2.0
23,egyptian pop,1,2.0
24,progressive electro house,1,2.0
25,r&b,1,2.0
26,tropical house,1,2.0
27,dirty south rap,1,2.0
