tracks,artists,released,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
7 rings,Ariana Grande,2019-02-08,91,"['dance pop', 'pop', 'post-teen pop']",0.771,0.32,1,-10.752,0,0.316,0.601,0.0,0.0885,0.312,139.844,audio_features,6ocbgoVGwYJhOv1GgI9NsF,178627,4
"break up with your girlfriend, i'm bored",Ariana Grande,2019-02-08,96,"['dance pop', 'pop', 'post-teen pop']",0.726,0.545,5,-5.489,0,0.102,0.0378,0.0,0.108,0.348,169.991,audio_features,4kV4N9D1iKVxx1KLvtTpjS,190440,4
MIDDLE CHILD,J. Cole,2019-01-23,94,"['conscious hip hop', 'nc hip hop', 'pop', 'pop rap', 'rap']",0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,213594,4
Wow.,Post Malone,2018-12-24,98,"['pop', 'rap']",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,audio_features,6MWtB6iiXyIwun0YzU6DFP,149520,4
Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,2018-12-14,98,[],0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,158040,4
Robbery,Juice WRLD,2019-02-13,78,['chicago rap'],0.708,0.691,2,-5.179,1,0.0442,0.342,0.0,0.222,0.535,79.99,audio_features,44ShclXTOOnYtt5CnCDeGV,240527,4
Murder On My Mind,YNW Melly,2018-08-03,86,"['rap', 'trap music']",0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,audio_features,7eBqSVxrzQZtK2mmgRG6lC,268434,4
Going Bad (feat. Drake),Meek Mill,2018-11-30,94,"['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'trap music']",0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,180522,4
a lot,21 Savage,2018-12-21,92,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,audio_features,2t8yVaLvJ0RenpXUIAC52d,288624,4
Thotiana,Blueface,2018-12-18,90,"['cali rap', 'rap', 'trap music']",0.906,0.382,10,-12.89,0,0.269,0.18,0.0,0.113,0.391,104.025,audio_features,3oh6SCCeLuXhFpEyepla6G,129264,4
"thank u, next",Ariana Grande,2019-02-08,88,"['dance pop', 'pop', 'post-teen pop']",0.735,0.638,1,-5.605,1,0.0785,0.24,0.0,0.102,0.402,107.016,audio_features,3e9HZxeyfWwjeyPAMmWSSQ,207320,4
Talk,Khalid,2019-02-07,89,['pop'],0.9,0.4,0,-8.443,1,0.124,0.0501,0.0,0.0876,0.338,136.001,audio_features,0rTV5WefWd1J3OwIheTzxM,197487,4
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2018-10-05,90,"['atl hip hop', 'atl trap', 'rap', 'trap music']",0.896,0.671,1,-6.977,0,0.289,0.103,0.0,0.552,0.358,112.502,audio_features,78QR3Wp35dqAhFEc2qAGjE,145543,4
NASA,Ariana Grande,2018-02-07,71,"['dance pop', 'pop', 'post-teen pop']",0.597,0.458,6,-6.909,1,0.296,0.453,0.0,0.253,0.542,74.972,audio_features,4SPu0Ql902hTVXkBoNIYtq,182000,4
bury a friend,Billie Eilish,2019-01-30,95,"['electropop', 'pop']",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4NzMOnvSJVNKF7nw5NkXIP,193143,4
needy,Ariana Grande,2019-02-08,91,"['dance pop', 'pop', 'post-teen pop']",0.607,0.314,7,-8.026,0,0.0372,0.787,3.13e-06,0.201,0.169,86.99,audio_features,1TEL6MlSSVLSdhOSddidlJ,171573,4
bad idea,Ariana Grande,2018-02-07,69,"['dance pop', 'pop', 'post-teen pop']",0.86,0.582,1,-5.37,1,0.0699,0.0281,0.0402,0.112,0.563,137.99,audio_features,7EQpvVujgytLVY8vKiDHAg,267107,4
SICKO MODE,Travis Scott,2018-08-03,94,"['pop', 'rap']",0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,312820,4
Pure Water (with Migos),Mustard,2019-01-16,87,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,audio_features,63cd4JkwGgYJrbOizbfmsp,194520,4
Please Me,Cardi B,2019-02-15,84,"['pop', 'rap']",0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,200890,4
Without Me,Halsey,2018-10-04,97,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,5p7ujcrUXASCNwRaWNHR1C,201661,4
Look Back At It,A Boogie Wit da Hoodie,2018-12-21,90,"['rap', 'trap music']",0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,0.536,96.057,audio_features,3Ol2xnObFdKV9pmRD2t9x8,179449,4
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2018-12-21,88,"['rap', 'trap music']",0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,audio_features,1wJRveJZLSb1rjhnUHQiv6,189487,4
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-12-14,92,"['miami hip hop', 'pop rap', 'rap', 'trap music']",0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,audio_features,0FZ4Dmg8jJJAPJnvBIzD9z,228760,4
bloodline,Ariana Grande,2019-02-08,90,"['dance pop', 'pop', 'post-teen pop']",0.765,0.663,2,-5.185,0,0.0886,0.0738,9.87e-05,0.206,0.633,151.979,audio_features,2hloaUoRonYssMuqLCBLTX,216893,4
Happier,Marshmello,2018-08-17,96,"['brostep', 'egyptian pop', 'progressive electro house']",0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,214290,4
i'm so tired...,Lauv,2019-01-24,91,"['dance pop', 'pop', 'post-teen pop']",0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,audio_features,7COXchtUOMd6uIT6HvmRaI,162583,4
Mo Bamba,Sheck Wes,2018-10-05,91,"['hip hop', 'pop rap', 'rap', 'trap music', 'underground hip hop', 'vapor trap']",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,audio_features,1xzBco0xcoJEDXktl7Jxrr,183907,4
imagine,Ariana Grande,2019-02-08,88,"['dance pop', 'pop', 'post-teen pop']",0.709,0.474,8,-4.89,1,0.0423,0.364,0.0,0.12,0.366,125.107,audio_features,39LmTF9RgyakzSYX8txrow,212267,3
fake smile,Ariana Grande,2019-02-08,89,"['dance pop', 'pop', 'post-teen pop']",0.522,0.6,9,-7.418,1,0.384,0.364,0.0,0.324,0.381,170.22,audio_features,3wFLWP0FcIqHK1wb1CPthQ,208880,4
Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,95,['pop'],0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,171030,4
Red Room,Offset,2019-02-14,80,"['atl hip hop', 'rap', 'trap music']",0.936,0.559,7,-8.591,0,0.158,0.479,0.0,0.129,0.517,112.339,audio_features,2MJdgSby3DtSS7bUJx2cly,241440,4
ghostin,Ariana Grande,2018-02-07,65,"['dance pop', 'pop', 'post-teen pop']",0.448,0.375,9,-8.371,1,0.0274,0.393,5.71e-05,0.199,0.111,104.014,audio_features,4lD7gHKF1e8Y9stQuVezZB,271467,4
Lucid Dreams,Juice WRLD,2018-12-10,90,['chicago rap'],0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,239836,4
Leave Me Alone,Flipp Dinero,2018-09-04,90,"['rap', 'trap music', 'underground hip hop', 'vapor trap']",0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,audio_features,14mHfNsSHN0FbLftyjrV9g,195637,4
Armed And Dangerous,Juice WRLD,2018-12-10,87,['chicago rap'],0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,audio_features,5wujBwqG7INdStqGd4tRMX,169999,4
Money,Cardi B,2018-10-23,88,"['pop', 'rap']",0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,audio_features,2GGMabyHXnJmjY6CXhhB2e,183527,4
Wake Up in the Sky,Gucci Mane,2018-12-07,79,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.367,0.367,143.01,audio_features,2G1tXoGBaEMJ7FKGnkf6ud,203161,4
Eastside (with Halsey & Khalid),benny blanco,2018-12-07,82,"['dance pop', 'electropop', 'pop', 'tropical house']",0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,7FGq80cy8juXBCD2nrqdWU,170770,4
Better,Khalid,2018-10-18,86,['pop'],0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,audio_features,6zeeWid2sgw4lap2jV61PZ,229320,4
Better Now,Post Malone,2018-04-27,92,"['pop', 'rap']",0.68,0.563,10,-5.843,1,0.0454,0.354,0.0,0.136,0.374,145.028,audio_features,7dt6x5M1jzdTEt8oCbisTK,231267,4
Splashin,Rich The Kid,2018-12-04,87,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.942,0.383,10,-8.099,1,0.565,0.00195,0.0,0.0922,0.38,100.021,audio_features,79OEIr4J4FHV0O3KrhaXRb,177806,4
SAD!,XXXTENTACION,2018-03-16,91,"['emo rap', 'miami hip hop']",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,166606,4
in my head,Ariana Grande,2019-02-08,87,"['dance pop', 'pop', 'post-teen pop']",0.647,0.586,0,-6.479,1,0.0731,0.183,8.03e-05,0.127,0.339,134.883,audio_features,4T652DlATVHe0jdLKaN3Bw,222947,4
Space Cadet (feat. Gunna),Metro Boomin,2018-11-06,86,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,audio_features,1fewSx2d5KIZ04wsooEBOz,203267,4
Shallow,Lady Gaga,2018-10-05,92,"['dance pop', 'pop']",0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,215733,4
